1|4|1|2025-07-13|2025-07-16|11800.0|REALIZOVANA|1
2|6|2|2025-08-12|2025-08-15|8400.0|REALIZOVANA|
3|5|3|2025-10-11|2025-10-14|10600.0|REALIZOVANA|1
4|7|4|2025-12-10|2025-12-13|12000.0|REALIZOVANA|
5|4|1|2026-01-09|2026-01-12|11800.0|REALIZOVANA|1
6|6|2|2026-03-08|2026-03-11|8400.0|REALIZOVANA|
7|5|3|2026-04-07|2026-04-10|10600.0|REALIZOVANA|1
8|7|4|2026-05-06|2026-05-09|12000.0|REALIZOVANA|
9|4|1|2025-07-05|2025-07-08|11800.0|REALIZOVANA|1
10|6|2|2025-08-04|2025-08-07|8400.0|REALIZOVANA|
11|5|3|2025-10-03|2025-10-06|10600.0|REALIZOVANA|1
12|7|4|2025-12-02|2025-12-05|12000.0|REALIZOVANA|
13|4|1|2026-01-01|2026-01-04|11800.0|REALIZOVANA|1
14|6|2|2026-02-28|2026-03-03|8400.0|REALIZOVANA|
15|5|3|2026-03-30|2026-04-02|10600.0|REALIZOVANA|1
16|7|4|2026-05-13|2026-05-16|12000.0|REALIZOVANA|
17|4|1|2025-07-12|2025-07-15|11800.0|REALIZOVANA|1
18|6|2|2025-08-11|2025-08-14|8400.0|REALIZOVANA|
19|5|3|2025-10-10|2025-10-13|10600.0|REALIZOVANA|1
20|7|4|2025-12-09|2025-12-12|12000.0|REALIZOVANA|
21|4|2|2026-06-08|2026-06-10|2000.0|OTKAZANA|
22|5|1|2026-06-08|2026-06-10|3000.0|OTKAZANA|
23|7|3|2026-06-08|2026-06-10|5000.0|ODBIJENA|
24|4|4|2026-06-08|2026-06-10|2000.0|NA_ČEKANJU|
25|6|2|2026-06-08|2026-06-10|4000.0|NA_ČEKANJU|
26|4|1|2026-06-14|2026-06-17|5000.0|ODOBRENA|
