1|1|BG-123-AA|AVAILABLE
2|1|BG-124-AA|RENTED
3|2|NS-456-BB|AVAILABLE
4|3|NI-789-CC|AVAILABLE
5|4|SU-999-DD|AVAILABLE
6|5|BG-201-XX|AVAILABLE
7|5|BG-202-XX|AVAILABLE
8|5|NS-101-YY|RENTED
9|8|NI-333-ZZ|AVAILABLE
10|8|NI-334-ZZ|AVAILABLE
11|18|SU-505-WW|AVAILABLE
12|18|SU-506-WW|RENTED
13|15|BG-777-QQ|AVAILABLE
14|15|NS-888-QQ|AVAILABLE
15|2|BG-111-MM|AVAILABLE
16|6|BG-006-AA|AVAILABLE
17|7|BG-007-BB|AVAILABLE
18|9|NI-009-CC|AVAILABLE
19|10|NS-010-DD|AVAILABLE
20|11|BG-011-EE|AVAILABLE
21|12|NS-012-FF|AVAILABLE
22|13|NI-013-GG|AVAILABLE
23|14|SU-014-HH|AVAILABLE
24|16|BG-016-II|AVAILABLE
25|17|NS-017-JJ|AVAILABLE
26|19|BG-019-KK|AVAILABLE
27|20|KG-011-FC|AVAILABLE
28|21|KK-123-SS|AVAILABLE
