1|1|2|39350.0|39832.0
2|2|3|27224.0|27733.0
3|3|3|23350.0|23494.0
4|4|3|22583.0|23198.0
5|5|2|45332.0|45678.0
6|6|2|39961.0|40661.0
7|7|2|42434.0|42816.0
8|8|3|26968.0|27689.0
9|9|3|44479.0|45127.0
10|10|3|22979.0|23077.0
11|11|3|37339.0|37646.0
12|12|3|20107.0|20896.0
13|14|2|39627.0|40008.0
14|15|2|22807.0|23606.0
15|17|3|33075.0|33812.0
16|18|2|31079.0|31150.0
17|19|2|22209.0|22291.0
18|20|3|27963.0|28497.0
19|21|2|42065.0|42784.0
20|22|2|33825.0|34062.0
21|24|2|48333.0|48793.0
22|26|2|29723.0|29995.0
23|27|2|21864.0|22434.0
24|28|3|23929.0|24562.0
25|29|3|28545.0|28804.0
26|30|2|20306.0|20825.0
27|33|2|28925.0|29263.0
28|34|3|28229.0|28331.0
29|35|3|25295.0|25797.0
30|36|2|21371.0|21736.0
31|37|2|31590.0|32213.0
32|39|3|46288.0|47023.0
33|40|2|48135.0|48666.0
34|41|3|30757.0|31092.0
35|42|3|20905.0|21073.0
36|43|3|34300.0|34970.0
37|44|2|31935.0|32426.0
38|45|3|36618.0|36984.0
39|46|2|40170.0|40802.0
40|47|2|34087.0|34730.0
41|48|3|46010.0|46233.0
42|49|2|24829.0|24904.0
43|50|2|43539.0|44302.0
44|51|2|49251.0|49410.0
45|52|3|24370.0|24895.0
46|53|3|47217.0|47828.0
47|54|3|45095.0|45678.0
48|55|3|30477.0|31080.0
49|56|3|30843.0|31448.0
50|59|3|31015.0|31749.0
51|61|3|25955.0|26056.0
52|62|3|44642.0|45123.0
53|63|3|27348.0|28063.0
54|64|2|24137.0|24671.0
55|65|2|39854.0|40525.0
56|66|3|38868.0|39611.0
57|67|2|42846.0|43204.0
58|68|2|36580.0|37293.0
59|69|3|40827.0|41347.0
60|70|3|30562.0|30863.0
61|71|3|20941.0|21497.0
62|72|3|29164.0|29824.0
63|73|2|42630.0|43167.0
64|74|3|33943.0|34556.0
65|75|2|30340.0|30512.0
66|76|3|23295.0|23543.0
67|77|2|28989.0|29085.0
68|79|3|48237.0|48776.0
69|80|2|24972.0|25174.0
70|81|3|34763.0|35266.0
71|82|2|44994.0|45256.0
72|83|2|25130.0|25182.0
73|84|3|43166.0|43505.0
74|85|3|23761.0|24368.0
75|86|2|45973.0|46337.0
76|87|3|28921.0|29483.0
77|88|2|42096.0|42735.0
