1|5|2|2025-06-02|2025-06-04|7400.0|COMPLETED|1
2|5|2|2025-06-02|2025-06-07|17000.0|COMPLETED|1
3|5|4|2025-06-03|2025-06-06|19200.0|COMPLETED|
4|6|3|2025-06-04|2025-06-05|2700.0|COMPLETED|1
5|6|3|2025-06-04|2025-06-09|8500.0|COMPLETED|
6|6|2|2025-06-08|2025-06-11|11200.0|COMPLETED|1
7|5|2|2025-06-08|2025-06-10|6400.0|COMPLETED|
8|6|4|2025-06-11|2025-06-14|21400.0|COMPLETED|1
9|7|2|2025-06-12|2025-06-15|13000.0|COMPLETED|1
10|7|4|2025-06-12|2025-06-15|25000.0|COMPLETED|1
11|5|4|2025-06-12|2025-06-17|32000.0|COMPLETED|
12|4|3|2025-06-15|2025-06-18|5400.0|COMPLETED|
13|6|2|2025-06-15|2025-06-20|17000.0|REJECTED|
14|5|2|2025-06-15|2025-06-18|10600.0|COMPLETED|1
15|6|3|2025-06-16|2025-06-18|4400.0|COMPLETED|1
16|5|2|2025-06-17|2025-06-21|12800.0|CANCELLED|
17|7|2|2025-06-18|2025-06-23|21000.0|COMPLETED|1
18|6|4|2025-06-18|2025-06-23|34000.0|COMPLETED|
19|5|2|2025-06-18|2025-06-19|4200.0|COMPLETED|1
20|6|4|2025-06-20|2025-06-22|14600.0|COMPLETED|1
21|7|3|2025-06-22|2025-06-26|9000.0|COMPLETED|1
22|6|1|2025-06-24|2025-06-26|7800.0|COMPLETED|1
23|6|4|2025-06-24|2025-06-26|13600.0|CANCELLED|
24|4|1|2025-06-25|2025-06-27|7200.0|COMPLETED|
25|4|4|2025-06-25|2025-06-28|21600.0|REJECTED|
26|6|4|2025-06-25|2025-06-30|34000.0|COMPLETED|
27|4|1|2025-06-27|2025-06-28|4600.0|COMPLETED|1
28|4|1|2025-06-27|2025-07-02|19000.0|COMPLETED|1
29|5|1|2025-06-27|2025-07-02|17000.0|COMPLETED|1
30|7|2|2025-06-29|2025-07-02|13000.0|COMPLETED|1
31|5|3|2025-06-29|2025-07-01|3200.0|CANCELLED|
32|7|3|2025-07-01|2025-07-06|11000.0|CANCELLED|
33|4|2|2025-07-03|2025-07-06|11880.0|COMPLETED|
